,Date,Daily Confirmed,Total Confirmed,Daily Recovered,Total Recovered,Daily Deceased,Total Deceased
0,30/01/2021,1,1,0,0,0,0
1,31/01/2021,0,1,0,0,0,0
2,02/01/2021,0,1,0,0,0,0
3,02/02/2021,1,2,0,0,0,0
4,02/03/2021,1,3,0,0,0,0
5,02/04/2021,0,3,0,0,0,0
6,02/05/2021,0,3,0,0,0,0
7,02/06/2021,0,3,0,0,0,0
8,02/07/2021,0,3,0,0,0,0
9,02/08/2021,0,3,0,0,0,0
10,02/09/2021,0,3,0,0,0,0
11,02/10/2021,0,3,0,0,0,0
12,02/11/2021,0,3,0,0,0,0
13,02/12/2021,0,3,0,0,0,0
14,13/02/2021,0,3,1,1,0,0
15,14/02/2021,0,3,0,1,0,0
16,15/02/2021,0,3,0,1,0,0
17,16/02/2021,0,3,1,2,0,0
18,17/02/2021,0,3,0,2,0,0
19,18/02/2021,0,3,0,2,0,0
20,19/02/2021,0,3,0,2,0,0
21,20/02/2021,0,3,1,3,0,0
22,21/02/2021,0,3,0,3,0,0
23,22/02/2021,0,3,0,3,0,0
24,23/02/2021,0,3,0,3,0,0
25,24/02/2021,0,3,0,3,0,0
26,25/02/2021,0,3,0,3,0,0
27,26/02/2021,0,3,0,3,0,0
28,27/02/2021,0,3,0,3,0,0
29,28/02/2021,0,3,0,3,0,0
30,03/01/2021,0,3,0,3,0,0
31,03/02/2021,0,3,0,3,0,0
32,03/03/2021,2,5,0,3,0,0
33,03/04/2021,1,6,0,3,0,0
34,03/05/2021,22,28,0,3,0,0
35,03/06/2021,2,30,0,3,0,0
36,03/07/2021,1,31,0,3,0,0
37,03/08/2021,3,34,0,3,0,0
38,03/09/2021,5,39,0,3,0,0
39,03/10/2021,9,48,0,3,0,0
40,03/11/2021,15,63,1,4,0,0
41,03/12/2021,8,71,0,4,0,0
42,13/03/2021,10,81,0,4,1,1
43,14/03/2021,10,91,6,10,0,1
44,15/03/2021,11,102,0,10,1,2
45,16/03/2021,10,112,3,13,0,2
46,17/03/2021,14,126,1,14,0,2
