,Unnamed: 0,Date,State,Confirmed,Deceased,Recovered,State_Name
0,1,14/03/2020,AN,0,0,0,Andaman and Nicobar Islands
1,2,14/03/2020,AP,1,0,0,Andhra Pradesh
2,3,14/03/2020,AR,0,0,0,Arunachal Pradesh
3,4,14/03/2020,AS,0,0,0,Assam
4,5,14/03/2020,BR,0,0,0,Bihar
5,6,14/03/2020,CH,0,0,0,Chandigarh
6,7,14/03/2020,CT,0,0,0,Chhattisgarh
7,8,14/03/2020,DD,0,0,0,Daman and Diu
8,9,14/03/2020,DL,7,1,1,Delhi
9,10,14/03/2020,DN,0,0,0,Dadra and Nagar Haveli and Daman and Diu
10,11,14/03/2020,GA,0,0,0,Goa
11,12,14/03/2020,GJ,0,0,0,Gujarat
12,13,14/03/2020,HP,0,0,0,Himachal Pradesh
13,14,14/03/2020,HR,14,0,0,Haryana
14,15,14/03/2020,JH,0,0,0,Jharkhand
15,16,14/03/2020,JK,2,0,0,Jammu and Kashmir
16,17,14/03/2020,KA,6,1,0,Karnataka
17,18,14/03/2020,KL,19,0,3,Kerala
18,19,14/03/2020,LA,0,0,0,Ladakh
19,20,14/03/2020,LD,0,0,0,Lakshadweep
20,21,14/03/2020,MH,14,0,0,Maharashtra
21,22,14/03/2020,ML,0,0,0,Meghalaya
22,23,14/03/2020,MN,0,0,0,Manipur
23,24,14/03/2020,MP,0,0,0,Madhya Pradesh
24,25,14/03/2020,MZ,0,0,0,Mizoram
25,26,14/03/2020,NL,0,0,0,Nagaland
26,27,14/03/2020,OR,0,0,0,Odisha
27,28,14/03/2020,PB,1,0,0,Punjab
28,29,14/03/2020,PY,0,0,0,Puducherry
29,30,14/03/2020,RJ,3,0,1,Rajasthan
30,31,14/03/2020,SK,0,0,0,Sikkim
31,32,14/03/2020,TG,1,0,0,Telangana
32,33,14/03/2020,TN,1,0,0,Tamil Nadu
33,34,14/03/2020,TR,0,0,0,Tripura
34,35,14/03/2020,TT,81,2,9,Total
35,36,14/03/2020,UN,0,0,0,State Unassigned
36,37,14/03/2020,UP,12,0,4,Uttar Pradesh
37,38,14/03/2020,UT,0,0,0,Uttarakhand
38,39,14/03/2020,WB,0,0,0,West Bengal
39,40,15/03/2020,AN,0,0,0,Andaman and Nicobar Islands
40,41,15/03/2020,AP,0,0,0,Andhra Pradesh
41,42,15/03/2020,AR,0,0,0,Arunachal Pradesh
42,43,15/03/2020,AS,0,0,0,Assam
43,44,15/03/2020,BR,0,0,0,Bihar
44,45,15/03/2020,CH,0,0,0,Chandigarh
45,46,15/03/2020,CT,0,0,0,Chhattisgarh
46,47,15/03/2020,DD,0,0,0,Daman and Diu
47,48,15/03/2020,DL,0,0,1,Delhi
48,49,15/03/2020,DN,0,0,0,Dadra and Nagar Haveli and Daman and Diu
49,50,15/03/2020,GA,0,0,0,Goa
50,51,15/03/2020,GJ,0,0,0,Gujarat
51,52,15/03/2020,HP,0,0,0,Himachal Pradesh
52,53,15/03/2020,HR,0,0,0,Haryana
53,54,15/03/2020,JH,0,0,0,Jharkhand
54,55,15/03/2020,JK,0,0,0,Jammu and Kashmir
55,56,15/03/2020,KA,0,0,0,Karnataka
56,57,15/03/2020,KL,5,0,0,Kerala
57,58,15/03/2020,LA,0,0,0,Ladakh
58,59,15/03/2020,LD,0,0,0,Lakshadweep
59,60,15/03/2020,MH,18,0,0,Maharashtra
60,61,15/03/2020,ML,0,0,0,Meghalaya
61,62,15/03/2020,MN,0,0,0,Manipur
62,63,15/03/2020,MP,0,0,0,Madhya Pradesh
63,64,15/03/2020,MZ,0,0,0,Mizoram
64,65,15/03/2020,NL,0,0,0,Nagaland
65,66,15/03/2020,OR,0,0,0,Odisha
66,67,15/03/2020,PB,0,0,0,Punjab
67,68,15/03/2020,PY,0,0,0,Puducherry
68,69,15/03/2020,RJ,1,0,2,Rajasthan
69,70,15/03/2020,SK,0,0,0,Sikkim
70,71,15/03/2020,TG,2,0,1,Telangana
71,72,15/03/2020,TN,0,0,0,Tamil Nadu
72,73,15/03/2020,TR,0,0,0,Tripura
73,74,15/03/2020,TT,27,0,4,Total
74,75,15/03/2020,UN,0,0,0,State Unassigned
75,76,15/03/2020,UP,1,0,0,Uttar Pradesh
76,77,15/03/2020,UT,0,0,0,Uttarakhand
